transaction_id,amount,hour_of_day,txn_count_last_24h,distance_from_home_km,is_foreign_country,is_new_merchant,Class
72,477.92,9,2,2.07,0,0,0
73,78.93,19,2,5.06,0,0,0
74,204.04,15,3,9.27,0,0,0
75,25.77,15,5,2.71,0,0,0
76,23.83,10,1,3.58,0,0,0
77,174.66,13,2,8.79,0,0,0
78,98.16,15,4,10.26,0,0,0
79,52.54,16,5,9.46,0,0,0
80,53.15,12,3,5.2,0,0,0
81,205.3,20,3,10.49,0,0,0
82,89.42,9,3,13.87,0,0,0
83,40.76,16,2,6.2,0,1,0
84,19.62,13,5,1.81,0,0,0
85,73.27,21,1,0.0,0,1,0
86,65.28,22,1,0.24,0,0,0
87,95.17,12,1,1.43,0,0,0
88,206.69,15,3,4.05,0,0,0
89,41.97,16,3,6.77,0,0,0
90,43.6,10,1,5.58,0,0,0
91,252.2,14,7,2.44,0,0,0
92,113.84,7,3,1.25,0,0,0
93,46.87,14,4,3.76,0,0,0
94,94.23,15,4,8.35,0,0,0
95,40.82,12,2,6.85,0,0,0
96,36.61,10,0,11.04,0,1,0
97,106.08,12,2,10.6,0,0,0
98,101.07,10,1,3.81,0,0,0
99,117.06,10,3,15.81,0,0,0
100,182.66,11,3,6.79,0,0,0
101,48.83,12,1,5.87,0,0,0
102,88.67,19,4,3.46,0,0,0
103,181.91,14,5,0.25,0,1,0
104,50.75,12,4,6.07,0,0,0
105,164.39,11,6,8.4,0,0,0
106,139.69,17,7,0.4,0,0,0
107,203.44,14,2,9.44,0,0,0
108,92.91,19,4,0.67,0,0,0
109,37.6,11,5,2.81,0,0,0
110,84.02,14,4,11.98,0,0,0
111,76.62,13,3,4.43,0,0,0
112,192.49,17,3,0.21,0,0,0
113,124.1,14,2,10.6,0,0,0
114,196.47,16,2,7.38,0,0,0
115,57.34,15,3,2.16,0,0,0
116,127.11,19,2,6.08,0,0,0
117,167.82,14,3,0.42,0,0,0
118,120.22,7,1,5.04,0,0,0
119,252.38,7,2,2.7,0,0,0
120,55.62,11,2,2.53,0,0,0
121,139.56,17,2,4.87,0,0,0
122,129.35,15,1,3.07,0,0,0
123,27.99,12,2,1.11,0,0,0
124,15.79,11,4,4.9,0,0,0
125,19.64,12,2,2.96,0,0,0
126,80.66,14,7,15.7,0,0,0
127,222.29,15,2,2.13,0,0,0
128,67.93,17,3,0.55,0,0,0
129,9.72,14,7,1.64,0,1,0
130,165.12,17,3,4.27,0,0,0
131,71.07,14,2,6.1,0,0,0
132,9.8,12,4,4.01,0,0,0
133,120.09,18,5,3.16,0,0,0
134,173.03,20,1,2.49,0,0,0
135,193.91,17,6,0.76,0,0,0
136,53.52,12,1,0.81,0,0,0
137,106.78,22,5,9.2,0,0,0
138,97.28,7,3,2.28,0,0,0
139,92.7,7,2,0.5,0,0,0
140,14.87,10,0,1.42,0,1,0
141,75.18,11,5,16.34,0,0,0
142,206.44,18,4,0.17,0,1,0
143,154.67,23,6,5.26,0,0,0
144,120.75,11,2,0.99,0,0,0
145,66.56,16,3,1.76,0,0,0
146,65.97,23,2,0.37,0,1,0
147,187.84,23,5,0.86,0,0,0
148,27.26,6,3,2.62,0,0,0
149,197.89,16,2,1.21,0,0,0
150,17.66,11,3,6.39,0,0,0
151,102.99,17,2,1.39,0,0,0
152,42.01,7,2,1.27,0,0,0
153,74.36,13,3,0.36,0,0,0
154,381.07,16,5,6.61,0,0,0
155,139.9,15,3,12.11,0,0,0
156,58.51,11,1,8.72,0,0,0
157,30.33,18,5,7.78,0,0,0
158,36.67,17,3,10.36,0,0,0
159,182.32,17,2,17.45,0,0,0
160,32.88,14,3,2.38,0,0,0
161,87.47,5,1,8.73,0,1,0
162,137.79,11,4,10.09,0,0,0
163,84.0,13,1,0.15,0,0,0
164,54.35,11,3,2.08,0,0,0
165,215.08,13,3,2.56,0,0,0
166,82.21,13,2,2.84,0,0,0
167,54.26,18,2,1.74,0,0,0
168,140.81,14,3,1.93,0,0,0
169,99.25,12,6,3.3,0,0,0
170,23.6,15,2,2.58,0,0,0
171,182.48,16,5,1.56,0,0,0
172,23.57,12,0,0.68,0,0,0
173,65.68,13,3,1.8,0,0,0
174,106.89,18,2,2.57,0,0,0
175,64.05,18,6,6.71,0,0,0
176,96.71,18,9,5.44,0,0,0
177,19.31,14,2,8.22,0,0,0
178,982.81,1,13,30.05,1,1,1
179,28.91,10,1,12.11,0,1,0
180,27.95,9,5,3.17,0,0,0
181,25.56,12,6,11.84,0,0,0
182,28.52,15,4,0.34,0,0,0
183,52.73,19,2,4.74,1,0,0
184,112.06,6,4,7.98,0,1,0
185,221.34,11,5,6.34,0,0,0
186,18.97,17,4,3.14,0,0,0
187,44.19,13,1,1.57,0,1,0
188,13.63,18,1,6.8,0,1,0
189,174.77,17,4,2.89,0,0,0
190,131.36,16,4,0.32,0,0,0
191,150.85,16,4,3.39,0,0,0
192,79.34,10,2,1.21,0,0,0
193,79.05,13,2,5.87,0,0,0
194,61.82,12,1,4.66,0,0,0
195,101.76,6,4,6.84,0,0,0
196,32.92,11,4,0.6,0,0,0
197,18.08,12,2,4.11,0,0,0
198,156.6,12,2,1.29,0,1,0
199,108.0,12,5,1.62,0,0,0
200,87.91,12,5,2.82,0,0,0
201,161.98,1,2,19.08,0,1,0
202,121.66,14,3,0.41,0,0,0
203,307.25,12,3,3.98,0,0,0
204,43.68,0,4,0.08,0,0,0
205,80.44,13,2,3.64,0,0,0
206,38.23,1,1,3.91,0,0,0
207,103.13,11,4,0.65,0,0,0
208,198.24,16,4,9.62,0,0,0
209,142.92,8,2,2.26,0,0,0
210,74.56,17,2,2.58,0,0,0
211,153.03,23,1,1.13,0,0,0
212,103.85,16,2,7.5,0,0,0
213,178.9,13,2,2.57,0,1,0
214,39.82,11,1,6.13,0,0,0
215,57.22,18,3,0.28,0,0,0
216,75.39,16,2,0.57,0,0,0
217,33.93,13,4,3.01,0,0,0
218,257.53,18,3,2.66,0,0,0
219,40.55,13,6,13.78,0,0,0
220,265.04,12,2,3.31,0,1,0
221,37.49,21,2,0.95,0,0,0
222,141.27,22,4,3.64,0,0,0
223,51.22,10,2,7.89,0,0,0
224,63.03,9,5,2.45,0,0,0
225,75.15,16,5,1.72,0,0,0
226,44.36,12,4,3.47,0,0,0
227,267.54,19,5,5.47,0,0,0
228,65.52,17,2,10.44,0,0,0
229,153.38,12,4,2.83,0,0,0
230,153.02,17,7,3.16,0,0,0
231,252.48,13,4,2.98,0,0,0
232,15.82,7,4,0.88,0,0,0
233,18.81,15,2,5.46,0,0,0
234,56.22,10,3,5.2,0,0,0
235,96.19,12,5,0.81,0,0,0
236,10.03,22,1,6.04,0,0,0
237,25.37,16,3,8.46,0,0,0
238,20.52,19,3,2.66,0,0,0
239,22.18,14,2,1.81,0,0,0
240,47.02,13,0,8.4,0,0,0
241,476.51,4,16,36.05,1,1,1
242,93.53,18,3,4.76,0,0,0
243,56.13,14,5,0.68,0,0,0
244,76.9,16,1,2.41,0,0,0
245,169.67,13,3,4.1,0,1,0
246,49.85,11,0,0.52,0,0,0
247,65.5,10,2,10.07,0,0,0
248,48.04,23,5,0.98,0,1,0
249,14.76,23,5,13.73,0,0,0
250,47.59,12,2,3.52,0,0,0
251,167.7,20,1,4.27,0,0,0
252,50.72,14,3,0.88,0,0,0
253,63.14,16,1,3.59,0,0,0
254,128.44,12,3,1.23,0,0,0
255,31.1,17,0,10.45,0,1,0
256,234.86,21,4,11.36,0,1,0
257,157.16,18,3,2.28,0,0,0
258,34.41,16,0,2.3,0,0,0
259,231.9,14,5,0.11,0,0,0
260,73.8,13,3,3.17,0,0,0
261,99.75,13,4,20.18,0,0,0
262,15.98,12,3,14.25,0,0,0
263,114.33,12,1,7.74,0,0,0
264,48.97,11,6,4.87,0,0,0
265,1401.08,4,12,510.24,1,1,1
266,50.66,11,3,8.22,0,0,0
267,35.51,16,2,3.7,0,0,0
268,85.22,23,2,4.97,0,1,0
269,210.74,15,2,7.5,0,0,0
270,41.52,14,1,2.73,0,0,0
271,33.66,11,4,0.03,1,0,0
272,54.97,19,2,8.48,0,0,0
273,35.51,18,3,1.68,0,0,0
274,199.01,14,2,5.32,0,0,0
275,72.44,13,2,12.09,0,0,0
276,219.7,7,4,6.55,0,0,0
277,159.22,11,6,3.22,0,0,0
278,94.99,9,3,0.71,0,0,0
279,36.09,7,1,10.94,0,1,0
280,662.26,4,9,72.54,1,0,1
281,395.82,16,6,0.81,1,0,0
282,62.75,12,0,14.16,0,0,0
283,168.28,19,2,0.9,0,0,0
284,49.03,20,1,0.09,0,1,0
285,66.8,16,0,0.82,0,0,0
286,169.55,18,4,2.97,0,0,0
287,63.61,11,2,4.84,0,1,0
288,59.55,14,5,3.77,0,0,0
289,12.76,16,5,0.8,0,0,0
290,70.41,15,3,1.89,0,1,0
291,200.29,16,4,1.03,0,0,0
292,100.67,18,4,0.65,0,0,0
293,62.49,10,1,31.0,0,0,0
294,89.65,8,3,3.08,0,0,0
295,29.54,18,1,6.05,0,0,0
296,40.3,4,5,1.66,0,0,0
297,65.43,18,1,1.87,0,0,0
298,85.15,16,6,4.42,0,1,0
299,57.35,22,2,6.12,0,0,0
300,59.95,17,4,4.13,0,0,0
301,163.36,15,3,3.31,0,0,0
302,237.99,14,3,3.37,0,0,0
303,211.66,16,2,8.49,0,0,0
304,76.29,11,4,6.66,0,0,0
305,90.97,14,1,3.27,0,0,0
306,162.31,16,4,0.39,0,0,0
307,461.9,5,8,583.22,1,1,1
308,105.48,14,1,0.35,0,0,0
309,22.45,21,2,0.42,0,0,0
310,44.63,12,3,3.9,0,0,0
311,121.82,11,4,2.21,0,1,0
312,24.4,3,3,8.3,0,0,0
313,15.21,9,4,2.19,0,0,0
314,135.03,18,3,3.47,0,0,0
315,123.6,12,3,5.64,0,0,0
316,181.37,13,2,7.59,0,0,0
317,80.34,13,3,3.38,0,0,0
318,139.44,19,0,4.27,0,0,0
319,35.87,20,3,7.85,0,0,0
320,67.85,15,1,2.31,0,0,0
321,40.47,10,4,5.42,0,0,0
322,199.83,12,1,2.69,0,1,0
323,24.6,11,0,7.88,0,1,0
324,23.99,20,4,0.99,0,0,0
325,23.74,14,2,8.08,0,1,0
326,92.04,16,2,3.58,0,0,0
327,102.66,21,5,7.18,0,0,0
328,65.55,11,4,12.93,0,0,0
329,183.98,19,7,1.23,1,0,0
330,50.89,16,1,1.34,0,0,0
331,124.93,12,5,6.49,0,0,0
332,50.74,15,2,8.21,0,0,0
333,72.17,12,3,8.85,0,0,0
334,55.58,17,4,0.92,0,0,0
335,49.23,16,1,0.01,0,0,0
336,90.19,13,1,0.57,0,0,0
337,94.16,10,2,0.81,0,0,0
338,46.3,7,3,8.31,0,0,0
339,46.48,11,4,4.82,0,0,0
340,36.06,8,2,4.31,0,0,0
341,49.83,14,4,9.78,0,0,0
342,47.89,18,2,4.37,0,1,0
343,77.67,12,2,10.39,0,0,0
344,50.7,18,0,1.88,0,0,0
345,120.33,17,1,7.65,0,0,0
346,67.54,17,3,4.13,0,0,0
347,62.18,12,2,2.8,0,0,0
348,50.66,19,2,1.29,0,1,0
349,186.81,10,2,14.69,0,0,0
350,139.32,11,4,11.58,0,0,0
351,125.24,16,2,4.6,0,0,0
352,22.86,16,2,0.4,0,0,0
353,31.85,20,2,2.17,0,0,0
354,242.57,20,5,1.77,0,0,0
355,55.52,11,3,3.05,0,0,0
356,71.04,14,2,16.47,1,0,0
357,146.68,18,2,3.07,0,0,0
358,33.3,9,3,2.64,0,0,0
359,258.33,17,3,2.64,0,0,0
360,72.04,23,2,0.54,0,0,0
361,93.52,6,3,11.35,0,0,0
362,65.78,21,2,3.33,0,0,0
363,136.84,10,2,11.1,0,0,0
364,17.14,19,1,1.47,0,0,0
365,252.14,12,4,4.67,0,0,0
366,139.44,15,6,0.38,0,0,0
367,136.83,12,3,1.24,0,1,0
368,144.02,9,2,7.15,0,0,0
369,81.04,13,5,3.96,0,0,0
370,110.62,10,3,2.06,0,0,0
371,6.08,12,4,0.96,0,0,0
372,79.1,14,5,0.04,0,0,0
373,85.39,20,2,9.82,0,1,0
374,55.31,18,7,0.28,0,0,0
375,249.61,15,7,16.31,0,0,0
376,100.7,18,4,5.82,0,0,0
377,117.94,11,5,9.07,0,0,0
378,187.65,17,1,7.52,0,0,0
379,111.73,14,0,14.76,0,1,0
380,129.74,21,1,11.18,0,0,0
381,65.1,16,1,10.8,0,0,0
382,77.38,13,2,1.7,0,0,0
383,13.21,14,1,3.05,0,0,0
384,103.44,14,2,2.06,0,0,0
385,58.88,23,3,5.66,0,0,0
386,67.88,9,3,6.01,0,0,0
387,47.01,17,4,3.87,0,0,0
388,0.87,23,1,20.69,0,0,0
389,130.9,16,1,3.34,0,0,0
390,190.49,18,1,0.09,0,0,0
391,77.52,17,5,11.0,0,1,0
392,161.35,8,1,3.27,0,0,0
393,81.06,9,6,11.62,0,0,0
394,46.91,11,1,0.49,0,0,0
395,88.54,4,0,1.61,0,0,0
396,25.77,11,0,23.63,0,0,0
397,126.02,21,4,3.74,0,0,0
398,45.7,15,2,2.24,0,0,0
399,114.0,19,1,2.69,0,1,0
400,22.29,6,2,0.77,0,0,0
401,138.86,13,2,0.01,0,0,0
402,20.0,16,6,2.24,0,0,0
403,24.51,15,1,7.23,0,0,0
404,32.86,11,1,9.44,0,0,0
405,200.94,18,3,0.54,0,0,0
406,21.76,8,3,1.5,0,0,0
407,170.5,16,4,5.34,0,0,0
408,71.64,14,2,3.83,0,0,0
409,236.29,16,5,14.08,0,0,0
410,239.65,23,1,0.67,0,0,0
411,56.52,16,2,3.16,0,0,0
412,150.74,9,3,1.13,0,0,0
413,67.26,16,5,4.63,0,0,0
414,59.34,6,1,4.24,0,1,0
415,29.88,14,3,3.5,0,1,0
416,72.95,16,5,1.33,0,0,0
417,127.79,22,2,0.02,0,0,0
418,90.62,18,1,6.1,0,0,0
419,113.73,14,3,0.17,0,0,0
420,29.89,16,5,9.47,0,0,0
421,50.67,8,1,0.26,0,0,0
422,123.45,11,2,1.7,0,1,0
423,237.89,14,1,11.93,0,1,0
424,189.0,13,2,3.01,0,0,0
425,79.45,19,1,7.16,0,0,0
426,152.37,12,2,0.26,0,0,0
427,36.85,19,1,4.25,0,0,0
428,98.15,17,3,3.0,0,0,0
429,147.14,21,1,8.36,0,0,0
430,47.05,19,0,3.41,0,0,0
431,74.6,17,4,0.48,0,0,0
432,93.61,8,3,8.78,0,0,0
433,20.07,13,2,11.94,0,0,0
434,69.13,11,4,5.05,0,0,0
435,10.93,16,4,2.35,0,0,0
436,34.37,17,5,1.35,0,0,0
437,91.81,17,5,1.2,0,0,0
438,53.19,18,1,3.22,0,0,0
439,56.74,16,5,1.6,0,0,0
440,68.29,12,5,15.44,0,0,0
441,121.51,9,4,5.79,0,0,0
442,14.48,11,4,9.74,0,0,0
443,232.11,12,3,3.2,0,0,0
444,30.21,17,3,4.02,0,0,0
445,30.35,6,3,0.31,0,0,0
446,28.33,11,7,4.88,0,0,0
447,110.97,10,4,0.16,0,0,0
448,13.2,14,5,0.72,0,0,0
449,62.3,14,2,9.84,0,0,0
450,10.68,15,4,6.1,0,0,0
451,165.26,12,3,3.95,0,0,0
452,134.99,20,3,12.27,0,0,0
453,78.49,17,4,3.03,0,1,0
454,149.76,16,1,0.23,0,1,0
455,98.64,18,5,1.6,0,0,0
456,62.11,11,3,1.26,0,0,0
457,154.66,14,2,7.22,0,0,0
458,143.19,14,3,5.39,0,0,0
459,100.29,20,2,8.78,0,0,0
460,58.0,13,0,9.47,0,1,0
461,222.25,19,5,0.46,0,0,0
462,95.98,14,0,1.43,0,0,0
463,111.78,11,1,12.7,0,0,0
464,23.71,13,1,0.39,0,0,0
465,106.25,16,2,11.54,0,0,0
466,96.55,11,2,6.53,0,0,0
467,102.98,12,3,5.61,0,0,0
468,44.28,15,3,2.67,0,1,0
469,226.06,19,2,13.21,0,1,0
470,136.73,18,5,8.73,0,1,0
471,70.96,11,3,6.7,0,0,0
472,65.26,6,4,14.4,0,0,0
473,138.58,13,5,4.71,0,0,0
474,47.53,15,5,3.33,0,0,0
475,124.2,16,1,3.54,0,0,0
476,251.57,12,1,2.88,0,0,0
477,107.71,7,3,2.21,0,0,0
478,96.27,13,5,4.82,0,0,0
479,145.61,18,4,3.67,0,0,0
480,41.91,20,2,2.29,0,0,0
481,51.55,6,1,8.6,0,0,0
482,43.1,21,3,7.85,0,0,0
483,79.33,18,8,23.31,0,0,0
484,36.22,10,3,1.79,0,0,0
485,22.15,12,5,0.45,0,0,0
486,54.22,8,2,8.58,0,0,0
487,56.41,15,4,2.41,0,0,0
488,24.15,21,4,18.06,0,0,0
489,35.23,15,1,0.49,0,0,0
490,107.77,19,3,14.04,0,0,0
491,154.77,12,3,5.19,0,0,0
492,138.2,10,2,0.4,0,0,0
493,117.45,16,5,9.6,0,0,0
494,118.22,10,5,0.39,0,0,0
495,162.05,11,4,1.67,0,0,0
496,76.8,16,4,7.64,0,0,0
497,18.86,19,4,1.77,0,0,0
498,129.45,15,5,2.24,0,0,0
499,151.14,15,6,0.21,0,1,0
500,64.76,14,2,0.83,0,0,0
501,308.77,8,2,13.08,0,0,0
502,111.2,12,4,8.73,0,0,0
503,156.16,17,5,0.85,0,0,0
504,28.46,10,5,8.35,0,0,0
505,96.71,12,5,1.04,0,0,0
506,101.56,15,3,2.82,0,0,0
507,139.54,17,2,8.18,0,0,0
508,23.75,8,2,1.86,0,0,0
509,29.8,13,5,5.38,0,0,0
510,103.29,15,4,3.3,0,0,0
511,83.29,12,3,4.47,0,0,0
512,47.3,19,1,1.15,0,0,0
513,96.48,16,0,0.72,0,0,0
514,59.52,13,2,3.22,0,0,0
515,15.91,9,4,3.31,0,0,0
516,14.5,11,3,5.4,0,1,0
517,120.21,16,2,11.98,0,0,0
518,21.0,17,4,17.42,0,0,0
519,131.22,8,3,3.29,0,0,0
520,67.68,16,0,3.77,0,0,0
521,232.8,23,4,2.69,0,0,0
522,126.21,22,1,27.06,0,0,0
523,37.82,13,1,4.39,0,0,0
524,42.23,12,2,5.05,0,0,0
525,66.13,17,6,1.96,0,0,0
526,587.79,4,13,260.87,1,1,1
527,117.57,15,1,11.64,0,0,0
528,34.31,14,1,1.6,0,0,0
529,70.24,7,1,2.37,0,0,0
530,235.36,12,6,0.68,0,0,0
531,22.36,16,2,3.72,0,0,0
532,12.21,11,2,1.11,0,0,0
533,171.13,16,2,3.34,0,0,0
534,67.2,16,6,0.89,0,0,0
535,96.65,9,3,26.68,0,0,0
536,16.79,13,3,10.44,0,1,0
537,41.22,12,5,2.61,0,0,0
538,99.59,19,5,2.03,0,0,0
539,106.23,13,3,8.69,0,0,0
540,148.19,13,4,4.69,0,0,0
541,129.69,12,3,10.8,0,1,0
542,105.79,9,2,4.07,0,0,0
543,59.8,15,2,1.68,0,0,0
544,143.54,13,1,11.13,0,0,0
545,150.59,16,2,1.33,1,1,0
546,41.23,14,2,3.47,0,1,0
547,53.1,9,2,2.75,0,0,0
548,79.85,9,1,2.06,0,0,0
549,98.99,9,5,1.25,0,1,0
550,378.95,10,3,3.46,0,0,0
551,39.16,12,5,4.35,0,0,0
552,107.84,7,2,0.09,0,0,0
553,151.02,12,5,1.09,0,0,0
554,337.33,4,14,87.72,1,1,1
555,287.17,12,3,25.45,0,0,0
556,202.27,3,12,353.63,0,0,1
557,141.54,14,4,16.98,0,0,0
558,42.28,12,2,1.61,0,0,0
559,83.06,13,3,3.11,0,0,0
560,88.21,11,0,4.37,0,0,0
561,69.96,20,4,2.11,0,0,0
562,10.57,14,2,2.58,0,0,0
563,92.81,20,2,4.03,0,1,0
564,269.03,14,6,3.94,0,0,0
565,47.99,18,2,5.99,0,0,0
566,75.04,16,4,6.55,0,0,0
567,18.66,16,1,1.85,0,0,0
568,333.68,13,4,2.92,0,0,0
569,100.35,7,2,0.61,0,0,0
570,67.27,18,4,6.13,0,0,0
571,99.78,18,8,3.31,0,0,0
572,77.68,3,1,12.05,0,0,0
573,154.94,16,2,1.15,0,0,0
574,62.55,19,2,2.45,0,0,0
575,99.08,23,4,2.82,0,0,0
576,33.72,14,0,0.68,0,0,0
577,125.12,16,6,5.76,0,0,0
578,77.97,15,5,6.02,0,0,0
579,4.08,14,3,3.83,0,0,0
580,165.55,17,3,2.98,0,0,0
581,82.36,10,5,1.88,0,0,0
582,163.64,19,0,2.38,0,0,0
583,36.41,18,6,3.2,0,0,0
584,59.71,16,6,4.84,0,0,0
585,145.41,8,3,4.69,0,0,0
586,44.69,19,4,1.37,0,0,0
587,42.22,16,2,1.9,0,0,0
588,177.42,11,4,2.04,0,0,0
589,32.32,15,2,5.64,0,0,0
590,178.64,13,4,1.54,0,0,0
591,43.15,11,1,1.44,0,0,0
592,49.76,21,2,1.27,0,0,0
593,65.08,12,4,0.32,0,0,0
594,42.63,11,2,8.41,0,1,0
595,182.27,17,2,6.38,0,0,0
596,370.23,18,2,7.79,0,0,0
597,52.63,17,6,5.29,0,0,0
598,89.25,16,1,1.47,0,0,0
599,208.18,16,2,6.64,0,0,0
600,162.03,18,4,17.82,0,0,0
601,127.54,18,2,2.33,0,0,0
602,1181.5,1,18,686.62,1,1,1
603,21.99,13,4,19.88,0,0,0
604,78.89,15,4,3.21,0,0,0
605,32.01,11,2,5.89,0,0,0
606,150.74,21,1,6.4,0,0,0
607,52.49,14,2,11.51,0,0,0
608,109.42,10,4,1.55,0,0,0
609,204.15,15,3,9.15,0,0,0
610,57.67,13,4,17.27,0,0,0
611,132.21,16,5,1.79,0,0,0
612,99.19,14,4,6.39,0,1,0
613,100.2,15,1,2.25,0,0,0
614,174.81,16,1,6.06,0,0,0
615,304.98,14,2,11.58,0,0,0
616,16.69,13,3,8.67,0,0,0
617,311.68,10,2,8.66,0,0,0
618,10.42,21,8,3.49,0,0,0
619,179.85,15,4,1.14,0,0,0
620,121.61,11,4,1.4,0,0,0
621,155.07,20,2,1.04,0,0,0
622,26.26,18,4,1.88,0,0,0
623,238.33,13,1,1.8,0,0,0
624,21.83,17,3,5.72,0,0,0
625,168.35,20,4,0.26,0,0,0
626,91.01,17,2,0.68,0,1,0
627,176.33,17,6,0.58,0,0,0
628,120.04,6,8,0.22,0,0,0
629,24.5,17,2,0.62,0,0,0
630,58.33,13,5,2.63,0,0,0
631,63.49,12,6,1.68,0,0,0
632,104.21,9,1,12.29,0,0,0
633,47.18,14,5,1.39,0,0,0
634,137.13,15,4,13.42,0,0,0
635,98.3,13,3,4.36,0,0,0
636,4.05,13,2,2.74,0,0,0
637,86.05,12,2,4.11,0,0,0
638,11.02,19,6,6.01,0,0,0
639,106.27,2,6,0.14,0,0,0
640,121.31,12,1,12.1,0,0,0
641,49.41,14,4,1.31,0,1,0
642,67.52,17,4,1.8,0,1,0
643,104.17,11,5,7.53,0,0,0
644,105.81,20,7,15.42,0,0,0
645,140.1,17,4,3.13,0,0,0
646,25.71,20,3,0.75,0,0,0
647,193.97,19,5,3.97,0,0,0
648,164.71,11,4,6.01,0,0,0
649,151.69,13,3,2.08,0,1,0
650,181.26,14,3,4.42,0,0,0
651,23.15,16,1,2.02,0,0,0
652,17.42,19,5,10.29,1,1,0
653,114.94,19,2,4.99,0,0,0
654,102.2,18,2,2.39,0,0,0
655,346.31,19,1,1.81,0,1,0
656,691.5,1,11,779.7,1,0,1
657,168.22,12,1,0.57,0,0,0
658,75.52,10,5,2.36,0,0,0
659,187.66,6,1,2.94,0,0,0
660,113.45,14,4,19.96,0,0,0
661,8.68,15,3,1.72,0,0,0
662,158.43,18,5,5.57,0,0,0
663,47.02,15,4,5.45,0,0,0
664,112.12,12,0,5.32,0,1,0
665,79.33,19,1,3.72,0,0,0
666,123.86,6,3,1.49,0,0,0
667,27.87,17,3,12.86,0,0,0
668,169.06,6,3,5.0,0,0,0
669,276.71,22,2,2.66,0,0,0
670,48.36,6,1,5.79,0,0,0
671,124.76,6,3,1.16,0,1,0
672,73.31,10,2,1.58,0,0,0
673,69.91,11,2,3.44,0,0,0
674,258.25,16,4,11.59,0,0,0
675,85.28,14,1,2.1,0,0,0
676,139.19,16,3,0.11,0,1,0
677,49.12,11,5,3.38,0,0,0
678,116.93,16,1,1.98,0,0,0
679,159.14,13,7,1.35,0,0,0
680,62.46,13,2,8.01,0,0,0
681,140.93,9,4,4.72,0,0,0
682,54.33,20,1,9.97,0,0,0
683,107.49,18,5,5.54,0,0,0
684,63.59,4,1,1.5,0,0,0
685,32.97,10,8,13.73,0,0,0
686,40.94,10,4,4.79,0,0,0
687,75.38,23,1,10.12,0,0,0
688,82.12,13,2,2.31,0,0,0
689,163.46,11,6,2.05,0,0,0
690,68.96,14,2,0.55,0,0,0
691,60.86,10,5,5.43,0,0,0
692,67.05,15,2,3.2,0,0,0
693,65.94,15,4,3.98,0,0,0
694,86.93,15,3,3.06,0,0,0
